tool_used,link,link,creation_date,Stars,Watchers,Forks,Releases,packages,Contributors,openIssues,closedIssues,OpenPullRequests,ClosedPullRequests,Commits,type
cyclonedx-maven-plugin,https://github.com/oracle/oci-java-sdk,https://github.com/oracle/oci-java-sdk,2016-12-06T04:05:39Z,4,3,3,4,0,6,0,1,0,13,64,SPDX
cyclonedx-python,https://github.com/oracle/oci-ansible-collection,https://github.com/oracle/oci-ansible-collection,2020-04-23T16:48:27Z,0,3,4,6,0,10,3,40,3,40,39,SPDX
cyclonedx-maven-plugin,https://github.com/oracle/nosql-java-sdk,https://github.com/oracle/nosql-java-sdk,2020-09-27T00:05:54Z,7,6,7,,0,901,0,0,0,16,"35,634",SPDX
cyclonedx-maven-plugin,https://github.com/oracle/macaron,https://github.com/oracle/macaron,2022-12-05T07:16:28Z,46,2,12,,0,9,12,13,1,59,108,SPDX
cyclonedx-cli,https://github.com/oracle/hiq,https://github.com/oracle/hiq,2022-03-04T08:59:02Z,0,2,0,,0,,0,0,0,0,5,SPDX
cyclonedx-python,https://github.com/oracle/dbt-oracle,https://github.com/oracle/dbt-oracle,2022-04-11T07:06:04Z,25,6,8,,0,7,0,9,0,53,"1,417",SPDX
spdx-maven-plugin,https://github.com/opossum-tool/OpossumUI,https://github.com/opossum-tool/OpossumUI,2021-09-21T14:45:15Z,25,17,9,13,13,11,4,9,2,156,133,SPDX
tools-python,https://github.com/opossum-tool/opossum.lib.py,https://github.com/opossum-tool/opossum.lib.py,2023-03-06T12:34:09Z,3,9,14,23,0,14,3,412,3,412,"2,259",SPDX
tools-java,https://github.com/opossum-tool/examples,https://github.com/opossum-tool/examples,2021-09-20T06:27:47Z,420,62,738,,0,513,0,13,0,13,"85,611",SPDX
cyclonedx-python-lib,https://github.com/opnsense/ports,https://github.com/opnsense/ports,2014-12-13T15:19:32Z,4,1,0,3,,2,0,0,0,1,44,SPDX
sbom-cli-plugin,https://github.com/opnfv/releng,https://github.com/opnfv/releng,2016-11-03T17:45:08Z,6,10,11,71,0,6,3,298,3,298,242,SPDX
spdx-maven-plugin,https://github.com/OpenTOSCA/license-engine,https://github.com/OpenTOSCA/license-engine,2020-11-20T15:21:48Z,0,3,0,,0,,0,0,0,0,176,SPDX
cyclonedx-cli,https://github.com/opensourceways/sbom-tools,https://github.com/opensourceways/sbom-tools,2022-08-05T03:45:05Z,2,1,0,,0,3,0,0,33,23,103,SPDX
tools-golang,https://github.com/opensbom-generator/sbom-composer,https://github.com/opensbom-generator/sbom-composer,2023-03-17T14:16:51Z,373,5,55,41,5,29,52,534,13,1765,"2,649",SPDX
sbom-cli,https://github.com/opendevstack/ods-jenkins-shared-library,https://github.com/opendevstack/ods-jenkins-shared-library,2018-07-27T11:44:32Z,2,1,0,,0,2,0,0,0,0,109,SPDX
cyclonedx-go,https://github.com/openclarity/vmclarity,https://github.com/openclarity/vmclarity,2022-11-04T16:06:44Z,0,2,0,,0,,1,0,0,0,2,SPDX
tools-java,https://github.com/Open-Source-Compliance/package-analysis,https://github.com/Open-Source-Compliance/package-analysis,2022-03-02T09:01:20Z,33000,58,378,36,1,78,92,259,9,362,633,SPDX
cyclonedx-gomod,https://github.com/open-feature/go-sdk,https://github.com/open-feature/go-sdk,2022-04-28T21:00:52Z,8,3,7,6,1,3,4,16,0,17,84,SPDX
cyclonedx-gomod,https://github.com/open-feature/flagd,https://github.com/open-feature/flagd,2022-05-26T12:05:42Z,4,10,4,54,0,10,0,1,2,861,"1,211",SPDX
cyclonedx-python-lib,https://github.com/on-nix/pkgs,https://github.com/on-nix/pkgs,2021-10-18T06:23:33Z,0,1,2,2,,8,0,3,6,34,58,SPDX
sbom-tool,https://github.com/OKiMaureen/test,https://github.com/OKiMaureen/test,2019-03-21T13:39:25Z,66,7,7,,0,2,0,1,0,17,"1,005",SPDX
cyclonedx-go,https://github.com/ocurity/dracon,https://github.com/ocurity/dracon,2023-02-13T17:16:44Z,48000,124,1000,184,0,282,67,1209,50,5985,"8,333",SPDX
sbom-tool,https://github.com/octodemo/sbom-dependency-submission,https://github.com/octodemo/sbom-dependency-submission,2022-10-03T22:33:03Z,0,2,0,,0,,0,0,0,0,1,SPDX
bom,https://github.com/oasis-open/openc2-jadn-software,https://github.com/oasis-open/openc2-jadn-software,2017-08-28T18:45:52Z,1,2,0,,0,2,0,0,4,18,"26,882",SPDX
tools-golang,https://github.com/nydusaccelerator/buildkit,https://github.com/nydusaccelerator/buildkit,2023-01-05T03:50:05Z,9,6,9,,0,3,1,1,0,6,34,SPDX
bom,https://github.com/numaproj/numaflow,https://github.com/numaproj/numaflow,2022-05-20T22:05:07Z,15,9,10,8,0,22,36,49,3,57,506,SPDX
cyclonedx-gomod,https://github.com/nscuro/dtapac,https://github.com/nscuro/dtapac,2022-04-15T15:56:50Z,1,3,15,2,0,8,2,1,1,15,94,SPDX
sbom-cli-plugin,https://github.com/noironetworks/aci-containers,https://github.com/noironetworks/aci-containers,2016-09-01T20:40:29Z,58,5,170,,0,11,16,7,23,9,"1,216",SPDX
cyclonedx-node-npm,https://github.com/nodeshift/faas-js-runtime,https://github.com/nodeshift/faas-js-runtime,2019-10-16T03:01:12Z,0,1,0,2,0,,1,0,0,3,2,SPDX
spdx-maven-plugin,https://github.com/NodeSecure/licenses-conformance,https://github.com/NodeSecure/licenses-conformance,2021-08-30T20:47:45Z,47,10,50,,0,30,26,114,1,503,"3,333",SPDX
cyclonedx-python-lib,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,2012-06-04T02:49:46Z,0,1,0,,,3,4,19,7,173,666,SPDX
cyclonedx-python,https://github.com/nix-community/poetry2nix,https://github.com/nix-community/poetry2nix,2019-06-17T15:26:38Z,15,4,2,,0,3,10,1,3,9,40,SPDX
