link,type,tool_used,creation_date,language,contributors,openIssues,closedIssues,commits,openPRs,closedPRs,releases,forks,stars,watchers,LOC,size,PL_category,PL_typting
https://github.com/X-lab2017/open-digger,CycloneDX,ko-build/ko,2020-08-18T11:03:58Z,Jupyter Notebook,44,22,642,951,3,243,2,96,323,17,"{""JavaScript"": 3003, ""TypeScript"": 785362, ""Jupyter Notebook"": 43556670, ""Dockerfile"": 699, ""Shell"": 2691, ""Python"": 163728}",53902.0,DSL,
https://github.com/jfrog/frogbot,CycloneDX,build-info-go,2022-03-06T12:19:58Z,Go,23,80,94,668,18,124,100,84,323,20,"{""JavaScript"": 16986, ""Shell"": 5048, ""TypeScript"": 17834, ""Batchfile"": 84, ""Go"": 644717}",35979.0,GPL,static
https://github.com/open-feature/flagd,CycloneDX,cyclonedx-gomod,2022-05-26T12:05:42Z,Go,49,36,313,1208,12,176,155,80,691,16,"{""Dockerfile"": 5438, ""Makefile"": 7529, ""Go"": 604531, ""JavaScript"": 1703, ""Shell"": 5672, ""HTML"": 184, ""TypeScript"": 37180}",12777.0,GPL,static
https://github.com/jfrog/jfrog-client-go,CycloneDX,build-info-go,2018-06-17T15:46:41Z,Go,83,61,43,1644,10,153,222,150,266,15,"{""Go"": 1572938}",35313.0,GPL,static
https://github.com/neoclide/coc-json,CycloneDX,build-info-go,2018-09-07T08:04:25Z,TypeScript,19,3,52,133,0,3,0,24,237,11,"{""TypeScript"": 65205, ""JavaScript"": 1174}",474.0,GPL,both
https://github.com/silk-framework/silk,CycloneDX,cyclonedx-webpack-plugin,2014-02-13T15:28:36Z,Scala,32,41,61,16381,23,79,13,61,248,29,"{""Scala"": 4921847, ""Shell"": 23548, ""HTML"": 190215, ""CSS"": 39768, ""JavaScript"": 1125787, ""Java"": 16471, ""Batchfile"": 25629, ""Makefile"": 2512, ""Dockerfile"": 1199, ""SCSS"": 39518}",97730.0,GPL,both
https://github.com/zama-ai/concrete-numpy,CycloneDX,cyclonedx-python,2021-09-06T07:59:31Z,Python,13,9,30,30,5,30,15,23,226,3,{},,GPL,dynamic
https://github.com/xeol-io/xeol,CycloneDX,cyclonedx-go,2022-12-23T17:52:15Z,Go,12,16,42,250,14,257,59,25,394,6,"{""Go"": 435128, ""Makefile"": 15828, ""Dockerfile"": 2711, ""Java"": 397, ""JavaScript"": 529, ""Python"": 4668, ""Shell"": 31743, ""Roff"": 82}",29561.0,GPL,static
https://github.com/chainloop-dev/chainloop,CycloneDX,cyclonedx-go,2023-03-06T14:30:50Z,Go,23,118,432,1429,1,67,233,34,445,11,"{""Makefile"": 8570, ""Dockerfile"": 919, ""Go"": 2450856, ""Smarty"": 18598, ""SQL"": 38392, ""Open Policy Agent"": 2776, ""HCL"": 140}",49909.0,GPL,static
https://github.com/CycloneDX/cyclonedx-cli,CycloneDX,cyclonedx-dotnet-library,2020-10-22T11:25:26Z,C#,18,101,74,416,19,83,49,63,359,14,"{""C#"": 135411, ""Dockerfile"": 345, ""Shell"": 341}",652.0,GPL,static
