tool_used,link,creation_date,,stars,watchers,forks,releases,packages,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,type
cyclonedx-python-lib,https://github.com/DefectDojo/django-DefectDojo,2015-02-19T17:53:47Z,,3000,209,14000,135,,366,330,2099,41,6124,"9,071",CycloneDX
ort,https://github.com/DefectDojo/sample-scan-files,2018-03-13T14:21:34Z,,66,17,117,,0,42,0,4,0,75,189,SPDX
cyclonedx-php-composer,https://github.com/DefinitelyTyped/DefinitelyTyped,2012-10-05T16:39:45Z,,453000,663,295000,,,5000+,703,7221,207,56365,"84,804",CycloneDX
tools-golang,https://github.com/deislabs/ratify,2021-08-13T16:17:52Z,,141,13,49,,7,36,97,258,2,727,640,SPDX
cyclonedx-cli,https://github.com/DependencyTrack/dependency-track,2013-07-16T19:16:43Z,,19000,69,454,47,,92,584,961,18,959,"3,992",CycloneDX
cyclonedx-node-npm,https://github.com/DependencyTrack/frontend,2019-10-23T19:50:03Z,,63,11,103,15,,39,98,90,41,371,"1,338",CycloneDX
cyclonedx-go,https://github.com/DependencyTrack/hyades,2022-09-30T08:44:20Z,,27,6,5,5,4,18,43,113,0,670,"1,237",CycloneDX
cyclonedx-cli,https://github.com/devcontainers-contrib/features,2022-10-15T09:45:18Z,,149,1,81,,452,34,29,120,9,357,688,CycloneDX
ort,https://github.com/devonfw/solicitor,2019-08-25T11:05:22Z,,17,7,17,19,0,12,11,78,1,112,247,SPDX
cyclonedx-go,https://github.com/devops-kung-fu/bomber,2022-07-08T15:05:44Z,,354,5,28,15,,11,14,63,7,89,60,CycloneDX
cyclonedx-gomod,https://github.com/devops-kung-fu/hookz,2021-03-03T18:59:10Z,,74,4,1,11,0,3,3,37,4,82,210,CycloneDX
cyclonedx-gomod,https://github.com/devops-kung-fu/lucha,2021-06-01T16:10:49Z,,12,2,1,2,0,,1,0,11,35,55,CycloneDX
bom,https://github.com/dhercher/beam-old,2020-10-09T01:14:56Z,,0,1,0,,0,677,0,0,1,0,"29,100",SPDX
ort,https://github.com/diegopereiraeng/payments-validation,2022-11-25T13:49:49Z,,1,1,13,,0,2,0,0,55,22,240,SPDX
sbom-tool,https://github.com/digitaltwinconsortium/DTDLParser,2022-08-06T14:39:37Z,,11,3,6,5,0,4,2,23,0,91,73,SPDX
bom,https://github.com/dims/k8s-code.appspot.com,2018-04-10T13:18:34Z,,1,4,5,,0,2,0,0,0,4,11,SPDX
ort,https://github.com/dmitmel/dotfiles,2018-01-13T11:10:25Z,,66,7,7,,0,2,0,1,0,17,"1,005",SPDX
tools-golang,https://github.com/docker/go-imageinspect,2022-07-28T03:02:28Z,,15,4,2,,0,3,10,1,3,9,40,SPDX
sbom-cli-plugin,https://github.com/docker/packaging,2022-08-29T08:36:14Z,,24,5,10,,,8,5,2,1,157,832,CycloneDX
bom,https://github.com/dokc/operator-feature-matrix,2023-01-27T00:07:35Z,,13,7,4,,,6,1,2,2,3,11,SPDX
ort,https://github.com/DoktorLenz/anmelde-tool,2023-03-10T15:42:08Z,,0,1,0,,,3,4,19,7,173,666,SPDX
cyclonedx-dotnet,https://github.com/DotPurpleApp/DotPurple-App,2020-05-12T12:58:39Z,,21,4,0,,,,0,6,0,0,16,CycloneDX
sbom-tool,https://github.com/dpvreony/net-repo-template,2022-12-03T10:57:53Z,,0,1,0,,0,2,1,0,1,46,48,SPDX
sbom-tool,https://github.com/dpvreony/whipstaff,2017-09-19T20:05:12Z,,4,1,2,43,0,6,7,29,4,1453,"1,980",SPDX
sbom-tool,https://github.com/ds2/docker-templates,2019-02-28T13:14:28Z,,0,2,0,,0,4,1,0,7,149,393,SPDX
cyclonedx-python,https://github.com/duo-labs/narrow,2022-12-13T13:53:51Z,,14,7,3,,0,3,7,0,0,4,63,CycloneDX
cyclonedx-maven-plugin,https://github.com/duosecurity/duo_client_java,2012-12-12T20:36:14Z,,22,35,42,5,0,27,2,7,0,66,165,CycloneDX
cyclonedx-cli,https://github.com/duosecurity/duo_client_python,2012-11-27T15:49:33Z,,122,41,114,15,0,58,9,48,9,165,406,CycloneDX
cyclonedx-cli,https://github.com/duosecurity/duo_universal_python,2020-10-16T00:45:23Z,,20,31,16,6,,6,1,8,1,10,55,CycloneDX
ko-build/ko,https://github.com/duzyn/scoop-cn,2020-06-20T01:59:09Z,,102,2,3,,,5,1,3,0,1,79,CycloneDX
cyclonedx-python,https://github.com/dynobo/normcap,2019-08-14T18:07:03Z,,12000,15,58,43,,6,32,147,1,307,"1,399",CycloneDX
cyclonedx-cli,https://github.com/e-m-b-a/emba,2020-08-25T07:59:12Z,,2000,40,186,14,,11,18,165,0,597,"3,573",CycloneDX
tools-golang,https://github.com/earthly/buildkit,2023-04-20T19:09:48Z,,2,5,2,,0,259,0,0,3,21,"5,808",SPDX
cyclonedx-go,https://github.com/eBay/sbom-scorecard,2022-11-03T22:58:57Z,,179,8,22,7,1,6,3,20,2,19,116,CycloneDX
sbom-tool,https://github.com/echapmanFromBunnings/medium-sbom,2022-08-13T21:50:08Z,,0,1,0,2,0,2,0,0,0,0,6,SPDX
ort,https://github.com/eclipse-leda/leda,2022-06-07T13:13:35Z,,13,7,7,,,6,3,2,0,63,222,SPDX
cyclonedx-cli,https://github.com/eclipse-leda/leda-distro,2022-06-13T15:21:46Z,,14,5,6,8,2,3,34,31,3,75,397,CycloneDX
ort,https://github.com/eclipse-leda/leda-utils,2022-06-13T15:22:48Z,,4,2,3,3,,4,6,3,0,43,222,SPDX
spdx-maven-plugin,https://github.com/eclipse-sw360/sw360,2018-04-16T15:54:19Z,,103,27,87,25,4,45,345,732,18,939,"1,831",SPDX
tools-java,https://github.com/eclipse-sw360/sw360.website.published,2022-10-05T20:24:17Z,,1,11,1,,0,2,0,0,0,0,44,SPDX
sbom-tool,https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-AdminAPI,2022-10-18T15:25:53Z,,2,4,7,8,0,16,0,73,0,73,"2,237",SPDX
sbom-tool,https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-API-Publisher,2021-03-02T19:42:00Z,,1,8,4,2,0,5,0,28,0,28,46,SPDX
sbom-tool,https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-Compatibility-Libraries,2022-12-08T22:05:30Z,,0,6,1,,0,3,0,3,0,3,4,SPDX
